"family","design","rep","seed","n_rows","n_min_row","n_max_row","cond_inv","eff_dim","pkg_cond_inv","pkg_spread","flagged","scope","target_in_span","degenerate_margins","truth","ok","err_class","err_message","est","lo","hi","width","covered","max_rhat","min_ess","min_ess_tail","divergent","max_treedepth","n_chains_ok","n_chains_requested"
"binomial","crosstab_4",1,2040,4,116,200,0.00042777116915607,1.99916773905749,0.035149093025391,1.00434965201453,NA,"descriptive",NA,8,-0.35888910338942,TRUE,NA,NA,-1.2130308,-1.7212217075,0.45026176475,2.17148347225,TRUE,1.01078870884006,341.62801623492,1097.57936017636,0,0,4,4
"binomial","joint_6",1,2040,6,47,175,0.745593636773007,2.83066020206323,0.742404937758121,0.999716931339573,NA,"descriptive",NA,10,-0.35888910338942,TRUE,NA,NA,-0.419034185,-0.76536919125,-0.0777151490250005,0.687654042225,TRUE,1.00196860482363,5766.53688705138,4299.30857751876,0,0,4,4
"binomial","joint_8",1,2040,8,47,113,0.781356412916224,2.87995009028477,0.790203061540981,1.00033377830029,NA,"descriptive",NA,16,-0.35888910338942,TRUE,NA,NA,-0.43414496,-0.773324497,-0.0964686387,0.6768558583,TRUE,1.00330807363035,6098.52311347358,3855.56113646786,0,0,4,4
"binomial","minimal_4",1,2040,4,116,184,0.562720152954831,2.45709861397578,0.516002349346916,1.00340053417086,NA,"descriptive",NA,6,-0.35888910338942,TRUE,NA,NA,-0.461921795,-0.8187191765,-0.10037269005,0.71834648645,TRUE,1.00245704336751,5981.55785003161,4528.24053235771,0,0,4,4
"binomial","ovat_age_3",1,2040,3,200,200,1.28924419513549e-17,1.00000147366388,1.30587918481816e-16,0.87213748036255,TRUE,"descriptive",NA,0,-0.35888910338942,TRUE,NA,NA,-0.360602285,-1.046257745,0.389446114499999,1.4357038595,TRUE,1.00253229484256,1761.7126581518,2057.18076378558,0,0,4,4
"binomial","ovat_age_6",1,2040,6,100,100,0.000424156490274202,1.00001193519658,0.0515646309392431,0.930755846644322,NA,"descriptive",NA,0,-0.35888910338942,TRUE,NA,NA,-0.15268165,-0.83119266225,0.4314677885,1.26266045075,TRUE,1.00336337680334,1495.66627758569,1624.15410348824,0,0,4,4
"binomial","crosstab_4",2,2061,4,121,168,0.00042777116915607,1.99916773905749,0.0187754422440878,1.05065194590854,NA,"descriptive",NA,8,-0.346167940797521,TRUE,NA,NA,-1.09132585,-1.5994419575,0.3315460235,1.930987981,TRUE,1.00761949538098,501.23732012317,1466.97181723817,0,0,4,4
"binomial","joint_6",2,2061,6,63,178,0.745593636773007,2.83066020206323,0.772031722417376,1.00322679599834,NA,"descriptive",NA,10,-0.346167940797521,TRUE,NA,NA,-0.428164915,-0.7708997515,-0.0893197711750002,0.681579980325,TRUE,1.00233049742024,7114.02480591602,4298.99798417753,0,0,4,4
"binomial","joint_8",2,2061,8,58,92,0.781356412916224,2.87995009028477,0.790728214601837,1.05339063193477,NA,"descriptive",NA,16,-0.346167940797521,TRUE,NA,NA,-0.43740585,-0.77460376825,-0.102550182,0.67205358625,TRUE,1.00134904805736,5393.24861257732,3590.1270535696,0,0,4,4
"binomial","minimal_4",2,2061,4,121,178,0.562720152954831,2.45709861397578,0.60289526925243,1.00157883464235,NA,"descriptive",NA,6,-0.346167940797521,TRUE,NA,NA,-0.425443005,-0.76979138675,-0.07367593285,0.6961154539,TRUE,1.00128855589494,5765.6997084008,4192.77197554216,0,0,4,4
"binomial","ovat_age_3",2,2061,3,200,200,1.28924419513549e-17,1.00000147366388,8.510254686049e-17,0.940190706832977,TRUE,"descriptive",NA,0,-0.346167940797521,TRUE,NA,NA,-0.466893875,-1.0704211525,0.209345936,1.2797670885,TRUE,1.00147020150523,1898.12602844988,2005.84086870014,0,0,4,4
"binomial","ovat_age_6",2,2061,6,100,100,0.000424156490274202,1.00001193519658,0.0562092345106645,1.00963667812195,NA,"descriptive",NA,0,-0.346167940797521,TRUE,NA,NA,-0.486176825,-1.04212999,0.0868390232749992,1.128969013275,TRUE,1.00412817823251,1839.43359333815,1814.86263218803,0,0,4,4
"binomial","crosstab_4",3,2082,4,117,184,0.00042777116915607,1.99916773905749,0.0118336794745852,1.01608642670622,NA,"descriptive",NA,8,-0.351079124336444,TRUE,NA,NA,-0.56723604,-1.01477102,0.60870370625,1.62347472625,TRUE,1.00481865766919,512.04329567591,1277.54925778461,0,0,4,4
"binomial","joint_6",3,2082,6,60,180,0.745593636773007,2.83066020206323,0.74927341233021,1.00302642365024,NA,"descriptive",NA,10,-0.351079124336444,TRUE,NA,NA,-0.068657177,-0.405318914,0.2718540435,0.6771729575,TRUE,1.00349535467679,6601.64282999271,4069.2592763721,0,0,4,4
"binomial","joint_8",3,2082,8,57,98,0.781356412916224,2.87995009028477,0.786147359011866,1.01601146190134,NA,"descriptive",NA,16,-0.351079124336444,TRUE,NA,NA,-0.065223646,-0.4051991325,0.26712547325,0.67232460575,TRUE,1.00172731675635,6310.45325239775,3853.79911552975,0,0,4,4
"binomial","minimal_4",3,2082,4,117,180,0.562720152954831,2.45709861397578,0.564197828637237,1.00420178582251,NA,"descriptive",NA,6,-0.351079124336444,TRUE,NA,NA,-0.028709816,-0.38706953175,0.32352249825,0.71059203,TRUE,1.00204885874905,5938.52205882314,4014.7128848619,0,0,4,4
"binomial","ovat_age_3",3,2082,3,200,200,1.28924419513549e-17,1.00000147366388,5.90521052260666e-17,0.89889493730705,TRUE,"descriptive",NA,0,-0.351079124336444,TRUE,NA,NA,0.164408005,-0.64725722025,0.655459458499998,1.30271667875,TRUE,1.00351350841495,1348.41335616627,1054.28738164299,0,0,4,4
"binomial","ovat_age_6",3,2082,6,100,100,0.000424156490274202,1.00001193519658,0.0515747058981959,0.969811734914437,NA,"descriptive",NA,0,-0.351079124336444,TRUE,NA,NA,0.074513857,-0.6413259365,0.6293999035,1.27072584,TRUE,1.00265143486296,1745.7762555573,2229.9197498109,0,0,4,4
"binomial","crosstab_4",4,2103,4,119,175,0.00042777116915607,1.99916773905749,0.0248124097083313,1.08875624577626,NA,"descriptive",NA,8,-0.367197469329307,TRUE,NA,NA,0.00726038245,-1.3904002675,0.4174043275,1.807804595,TRUE,1.00389729933321,702.30391731316,914.67625458116,0,0,4,4
"binomial","joint_6",4,2103,6,59,170,0.745593636773007,2.83066020206323,0.785878859357023,0.998678696441975,NA,"descriptive",NA,10,-0.367197469329307,TRUE,NA,NA,-0.486377395,-0.8411507995,-0.1418905865,0.699260212999999,TRUE,1.00249396026013,5834.95345667339,4458.75908619924,0,0,4,4
"binomial","joint_8",4,2103,8,59,90,0.781356412916224,2.87995009028477,0.773136132789743,1.09003679077335,NA,"descriptive",NA,16,-0.367197469329307,TRUE,NA,NA,-0.4757193,-0.8173087375,-0.12790299675,0.68940574075,TRUE,1.0015647367022,5770.85521547201,4346.52971628337,0,0,4,4
